currentValue,tokenAddr,decimals
PPT,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,8
LRC,0xef68e7c694f40c8202821edf525de3782458639f,18
CAT,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,18
STX,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,18
TKR,0xb45a50545beeab73f38f31e5973768c421805e5e,18
DAY,0xe814aee960a85208c3db542c53e7d4a6c8d5f60f,18
WTC,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,18
RHOC,0x168296bb09e24a88805cb9c33356536b980d3fc5,8
VEN,0xd850942ef8811f2a866692a623011bde52a462c1,18
CDT,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,18
ADX,0x4470bb87d77b963a013db939be332f927f2b992e,4
BET,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,18
BTM,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,8
MCO,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,8
LLT,0x6d5cac36c1ae39f41d52393b7a425d0a610ad9f2,8
OPT,0x4355fc160f74328f9b383df2ec589bb3dfd82ba0,18
TFL,0xa7f976c360ebbed4465c2855684d1aae5271efa9,8
DOM,0x30aee7f259d6d1564ebef457847c672b30f13cbc,0
SND,0xf333b2ace992ac2bbd8798bf57bc65a06184afba,0
WILD,0xd3c00772b24d997a812249ca637a921e81357701,18
HOWL,0xe755f2fa95e47c5588c3037dd38e1268fa5fcecd,18
EDG,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0
XAI,0x268b7976e94e84a48bf8b2b57ba34b59ed836a74,8
BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18
CFI,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,18
MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc,8
REX,0xf05a9382a4c3f29e2784502754293d88b835109c,18
DICE,0x2e071d2966aa7d8decb1005885ba1977d6038a65,16
TAAS,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,6
0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,0
ARC,0xac709fcb44a43c35f0da4e3163b117a17f3770f5,18
SNGLS,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0
SHIT,0xef2e9966eb61bb494e5375d5df8d67b7db8a780d,0
GOOC,0xdcb9ff81013c31ff686154b4502ef6bfaa102d2d,8
SALT,0x4156d3342d5c385a87d264f90653733592000581,8
Vibe,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,18
COB,0xb2f7eb1f2c37645be61d73953035360e768d81e6,18
CREDO,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,18
EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,18
WanCoin,0x5fc6de61258e63706543bb57619b99cc0e5a5a1f,undefined
ICN,0x888666ca69e0f178ded6d75b5726cee99a87d698,18
EXN,0x0766e79a6fd74469733e8330b3b461c0320ff059,18
DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,8
TIX,0xea1f346faf023f974eb5adaf088bbcdf02d761f4,18
MTP,0xdab5dfa0966c3435da991b39d205c3ba1c64fe31,1
SWP,0x4b35e0ab998ebe8414871c13cf778f9d0bbdf609,18
NEWB,0x814964b1bceaf24e26296d031eadf134a2ca4105,0
GOOD,0xae616e72d3d89e847f74e8ace41ca68bbf56af79,6
ALPC,0xbfd4a3c26996dfc9e85a951eb615aac3b84c758b,0
XNN,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,18
GGS,0x68db10ecc599d9f5e657acdafdbf6449d658bb2d,18
EDOGE,0xbd36ad3e10d3c057a2a7379124823f9e73d36a33,18
BCO,0x865d176351f287fe1b0010805b110d08699c200a,8
1LIFE,0xce61f5e6d1fe5a86e246f68aff956f7757282ef0,18
BMT,0xf028adee51533b1b47beaa890feb54a457f51e89,18
SMT,0x82d193f8ee41d12aaa0a85cb006606d67f773e9c,1
